snapshot_date,keyword,provider,count_top_n,share_pct,best_rank,is_brand,total_results
2026-06-01,Online Marketing,Learning Digital Academy GmbH,2,10.0,1,0,6536
2026-06-01,Online Marketing,ecomex GmbH & Co. KG,2,10.0,2,1,6536
2026-06-01,Online Marketing,Karriere Tutor GmbH,2,10.0,7,0,6536
2026-06-01,Online Marketing,OneCareer,2,10.0,10,0,6536
2026-06-01,Online Marketing,IU Akademie IU Internationale Hochschule,1,5.0,3,0,6536
2026-06-01,Online Marketing,COMCAVE.COLLEGE GmbH,1,5.0,4,0,6536
2026-06-01,Online Marketing,GrandEdu GmbH,1,5.0,6,0,6536
2026-06-01,Online Marketing,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,9,0,6536
2026-06-01,Online Marketing,Lecturio GmbH,1,5.0,11,0,6536
2026-06-01,Online Marketing,CBW College Berufliche Weiterbildung GmbH,1,5.0,12,0,6536
2026-06-01,Online Marketing,Masters of Digital GmbH,1,5.0,13,0,6536
2026-06-01,Online Marketing,Education partners GmbH,1,5.0,14,0,6536
2026-06-01,Online Marketing,IFM GmbH,1,5.0,15,0,6536
2026-06-01,Online Marketing,HECKER CONSULTING,1,5.0,16,0,6536
2026-06-01,Online Marketing,EBA Hanse College GmbH,1,5.0,18,0,6536
2026-06-01,Online Marketing,velpTEC GmbH,1,5.0,19,0,6536
2026-06-01,Online Marketing Manager,OneCareer,4,20.0,12,0,2208
2026-06-01,Online Marketing Manager,alfatraining Bildungszentrum GmbH,2,10.0,1,0,2208
2026-06-01,Online Marketing Manager,COMCAVE.COLLEGE GmbH,1,5.0,2,0,2208
2026-06-01,Online Marketing Manager,Talentspring Academy Group,1,5.0,3,0,2208
2026-06-01,Online Marketing Manager,ecomex GmbH & Co. KG,1,5.0,4,1,2208
2026-06-01,Online Marketing Manager,Wildner Akademie für Digitale Wirtschaft & Management,1,5.0,5,0,2208
2026-06-01,Online Marketing Manager,DCI Digital Career Institute GmbH,1,5.0,6,0,2208
2026-06-01,Online Marketing Manager,Textakademie GmbH,1,5.0,7,0,2208
2026-06-01,Online Marketing Manager,SGD,1,5.0,8,0,2208
2026-06-01,Online Marketing Manager,Lecturio GmbH,1,5.0,9,0,2208
2026-06-01,Online Marketing Manager,Minister Fachschule GmbH,1,5.0,10,0,2208
2026-06-01,Online Marketing Manager,Starthilfe Bildungswerk GmbH,1,5.0,11,0,2208
2026-06-01,Online Marketing Manager,Learnix GmbH,1,5.0,13,0,2208
2026-06-01,Online Marketing Manager,Karriere Tutor GmbH,1,5.0,17,0,2208
2026-06-01,Online Marketing Manager,Berger Bildungsinstitut GmbH,1,5.0,19,0,2208
2026-06-01,Online Marketing Manager,SMD Performance Media,1,5.0,20,0,2208
2026-06-01,Online Marketing Strategie,Learning Digital Academy GmbH,6,30.0,3,0,4107
2026-06-01,Online Marketing Strategie,Masters of Digital GmbH,4,20.0,6,0,4107
2026-06-01,Online Marketing Strategie,Talentspring Academy Group,2,10.0,12,0,4107
2026-06-01,Online Marketing Strategie,OneCareer,1,5.0,1,0,4107
2026-06-01,Online Marketing Strategie,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,2,0,4107
2026-06-01,Online Marketing Strategie,ecomex GmbH & Co. KG,1,5.0,4,1,4107
2026-06-01,Online Marketing Strategie,Karriere Tutor GmbH,1,5.0,9,0,4107
2026-06-01,Online Marketing Strategie,neuefische GmbH,1,5.0,10,0,4107
2026-06-01,Online Marketing Strategie,BNW gGmbH - Bildungswerk der Niedersächsischen Wirtschaft gemeinnützige GmbH,1,5.0,18,0,4107
2026-06-01,Online Marketing Strategie,Mentify Learn GmbH,1,5.0,19,0,4107
2026-06-01,Online Marketing Strategie,Spiced Academy GmbH,1,5.0,20,0,4107
2026-06-01,Search Engine Marketing,OneCareer,4,20.0,1,0,265
2026-06-01,Search Engine Marketing,Masters of Digital GmbH,4,20.0,4,0,265
2026-06-01,Search Engine Marketing,IU Akademie IU Internationale Hochschule,2,10.0,13,0,265
2026-06-01,Search Engine Marketing,XDi - Experience Design Institut GmbH,2,10.0,15,0,265
2026-06-01,Search Engine Marketing,Learning Digital Academy GmbH,1,5.0,2,0,265
2026-06-01,Search Engine Marketing,Distart Education GmbH,1,5.0,9,0,265
2026-06-01,Search Engine Marketing,Professionals Online Akademie für Sales und Marketing,1,5.0,10,0,265
2026-06-01,Search Engine Marketing,velpTEC GmbH,1,5.0,11,0,265
2026-06-01,Search Engine Marketing,ecomex GmbH & Co. KG,1,5.0,16,1,265
2026-06-01,Search Engine Marketing,Spiced Academy GmbH,1,5.0,18,0,265
2026-06-01,Search Engine Marketing,Talentivo GmbH,1,5.0,19,0,265
2026-06-01,Search Engine Marketing,Karriere Tutor GmbH,1,5.0,20,0,265
2026-06-01,SEA,Masters of Digital GmbH,8,40.0,4,0,1577
2026-06-01,SEA,OneCareer,3,15.0,3,0,1577
2026-06-01,SEA,mycareernow,2,10.0,7,0,1577
2026-06-01,SEA,cimdata Bildungsakademie GmbH,2,10.0,10,0,1577
2026-06-01,SEA,Karriere Tutor GmbH,1,5.0,1,0,1577
2026-06-01,SEA,WBS TRAINING SE,1,5.0,2,0,1577
2026-06-01,SEA,velpTEC GmbH,1,5.0,8,0,1577
2026-06-01,SEA,IU Akademie IU Internationale Hochschule,1,5.0,16,0,1577
2026-06-01,SEA,DCI Digital Career Institute GmbH,1,5.0,17,0,1577
2026-06-01,SEO,OneCareer,6,30.0,3,0,3882
2026-06-01,SEO,Learning Digital Academy GmbH,4,20.0,12,0,3882
2026-06-01,SEO,Masters of Digital GmbH,3,15.0,2,0,3882
2026-06-01,SEO,Talentspring Academy Group,1,5.0,1,0,3882
2026-06-01,SEO,Spiced Academy GmbH,1,5.0,7,0,3882
2026-06-01,SEO,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,9,0,3882
2026-06-01,SEO,velpTEC GmbH,1,5.0,11,0,3882
2026-06-01,SEO,Bildungswerk der nordhessischen Wirtschaft gemeinnützige GmbH,1,5.0,13,0,3882
2026-06-01,SEO,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,1,5.0,17,0,3882
2026-06-01,SEO,Karriere Tutor GmbH,1,5.0,19,0,3882
2026-06-01,Suchmaschinenoptimierung,OneCareer,5,25.0,1,0,1776
2026-06-01,Suchmaschinenoptimierung,Masters of Digital GmbH,5,25.0,3,0,1776
2026-06-01,Suchmaschinenoptimierung,velpTEC GmbH,5,25.0,7,0,1776
2026-06-01,Suchmaschinenoptimierung,Learning Digital Academy GmbH,2,10.0,2,0,1776
2026-06-01,Suchmaschinenoptimierung,Talentspring Academy Group,1,5.0,11,0,1776
2026-06-01,Suchmaschinenoptimierung,GrandEdu GmbH,1,5.0,12,0,1776
2026-06-01,Suchmaschinenoptimierung,COMCAVE.COLLEGE GmbH,1,5.0,16,0,1776
2026-06-01,Suchmaschinenmarketing,Learning Digital Academy GmbH,4,20.0,1,0,962
2026-06-01,Suchmaschinenmarketing,OneCareer,2,10.0,4,0,962
2026-06-01,Suchmaschinenmarketing,Karriere Tutor GmbH,2,10.0,5,0,962
2026-06-01,Suchmaschinenmarketing,BIB Augsburg gGmbH,1,5.0,7,0,962
2026-06-01,Suchmaschinenmarketing,Berger Bildungsinstitut GmbH,1,5.0,8,0,962
2026-06-01,Suchmaschinenmarketing,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,1,5.0,9,0,962
2026-06-01,Suchmaschinenmarketing,Randstad Deutschland GmbH & Co. KG,1,5.0,11,0,962
2026-06-01,Suchmaschinenmarketing,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,1,5.0,12,0,962
2026-06-01,Suchmaschinenmarketing,Bildungswerk der nordhessischen Wirtschaft gemeinnützige GmbH,1,5.0,13,0,962
2026-06-01,Suchmaschinenmarketing,velpTEC GmbH,1,5.0,14,0,962
