keyword,brand_best_rank,brand_course,total_results
Ki- Online,1,KI im Online Marketing,3893
Online,2,Online Advertising im Online Marketing,10000
Marketing Expert,5,Inbound Marketing Experte,728
Marketing Strategie,8,Online Marketing Strategie,6799
Engine Marketing,11,Search Engine Marketing Expert,302
Search Engine,17,Search Engine Marketing Expert,277
Marketing Grundlagen,19,Online Marketing Grundlagen für Marketing Manager:in,8214
Grundlagen Marketing,19,Online Marketing Grundlagen für Marketing Manager:in,8214
Weiterbildung,20,AI Weiterbildung,10000
Search,22,Search Engine Marketing Expert,653
Engine,24,Search Engine Marketing Expert,1050
Marketing,29,Performance Marketing im Online Marketing,10000
Strategie,32,Content Marketing Strategie,10000
Ki-,53,KI und Automatisierung,10000
Content,55,Content Marketing Expert,7503
Manager,59,AI-Manager,10000
Marketing Masterclass,64,Performance Marketing Masterclass,554
Grundlagen,71,Grundlagen KI,10000
Masterclass,168,Performance Marketing Masterclass,2842
Performance,190,E-Commerce Performance Marketing mit KI,7232
Expert,457,Inbound Marketing Experte,6903
