snapshot_date,keyword,total_results,brand_best_rank,brand_course,brand_in_top_n,brand_in_scan,top_n,scanned
2026-05-29,Online Marketing,6435,2,Online Advertising im Online Marketing,2,35,20,500
2026-05-29,Online Marketing Manager,2186,4,Online Marketing Manager,1,15,20,500
2026-05-29,Online Marketing Strategie,4082,3,Online Marketing Strategie,1,26,20,500
2026-05-29,Search Engine Marketing,269,18,Search Engine Marketing Expert,1,1,20,269
2026-05-29,SEA,1561,330,PPC Marketing - Paid Advertising,0,7,20,500
2026-05-29,SEO,3911,290,SEO und Inbound Marketing,0,4,20,500
2026-05-29,Suchmaschinenoptimierung,1774,241,Online Marketing mit SEO,0,12,20,500
2026-05-29,Suchmaschinenmarketing,951,310,Online Marketing Starter Kurs,0,2,20,500
2026-05-29,Content Marketing,4890,15,Content Marketing,1,11,20,500
2026-05-29,Digital Marketing,7127,220,Digital Marketing Manager,0,6,20,500
2026-05-29,Digitales Marketing,7127,220,Digital Marketing Manager,0,6,20,500
2026-05-29,Social Media Marketing,4673,28,Content Marketing & Social Media Marketing,0,19,20,500
2026-05-29,Performance Marketing,2714,47,Performance Marketing im Online Marketing,0,15,20,500
2026-05-29,Affiliate Marketing,509,229,Online Marketing Manager Weiterbildung,0,2,20,500
2026-05-29,E-Commerce,2423,26,E-Commerce Grundlagen,0,19,20,500
2026-05-29,E-Commerce Manager,714,5,E-Commerce Manager,1,21,20,500
2026-05-29,Marketing Manager,3851,18,Content Marketing Manager,1,13,20,500
2026-05-29,Marketing Automation,487,23,E-Commerce Marketing Automation,0,19,20,487
2026-05-29,Google Ads,1106,83,Online Marketing mit Google Ads,0,11,20,500
2026-05-29,Online Advertising,838,2,Online Advertising im Online Marketing,1,33,20,500
2026-05-29,Webanalyse,254,15,Webanalyse & Social Media Marketing,3,14,20,254
2026-05-29,Digital Strategy,128,3,Global Digital Strategy & Online Marketing Management,1,2,20,128
2026-05-30,Online Marketing,6435,2,Online Advertising im Online Marketing,2,34,20,500
2026-05-30,Online Marketing Manager,2186,4,Online Marketing Manager,1,15,20,500
2026-05-30,Online Marketing Strategie,4082,4,Online Marketing Strategie,1,26,20,500
2026-05-30,Search Engine Marketing,269,21,Search Engine Marketing Expert,0,1,20,269
2026-05-30,SEA,1561,320,Online Marketing für Einsteiger,0,8,20,500
2026-05-30,SEO,3911,275,SEO und Inbound Marketing,0,4,20,500
2026-05-30,Suchmaschinenoptimierung,1774,237,Online Marketing mit SEO,0,12,20,500
2026-05-30,Suchmaschinenmarketing,951,298,Online Marketing Starter Kurs,0,2,20,500
2026-05-30,Content Marketing,4890,11,Content Marketing,1,11,20,500
2026-05-30,Digital Marketing,7127,228,Digital Marketing Manager,0,6,20,500
2026-05-30,Digitales Marketing,7127,228,Digital Marketing Manager,0,6,20,500
