snapshot_date,keyword,provider,count_top_n,share_pct,best_rank,is_brand,total_results
2026-06-09,Online Marketing,Learning Digital Academy GmbH,2,10.0,1,0,6650
2026-06-09,Online Marketing,ecomex GmbH & Co. KG,2,10.0,2,1,6650
2026-06-09,Online Marketing,OneCareer,2,10.0,9,0,6650
2026-06-09,Online Marketing,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,3,0,6650
2026-06-09,Online Marketing,Masters of Digital GmbH,1,5.0,4,0,6650
2026-06-09,Online Marketing,IU Akademie IU Internationale Hochschule,1,5.0,5,0,6650
2026-06-09,Online Marketing,GrandEdu GmbH,1,5.0,7,0,6650
2026-06-09,Online Marketing,COMCAVE.COLLEGE GmbH,1,5.0,8,0,6650
2026-06-09,Online Marketing,Lecturio GmbH,1,5.0,10,0,6650
2026-06-09,Online Marketing,Karriere Tutor GmbH,1,5.0,12,0,6650
2026-06-09,Online Marketing,Comhard Gesellschaft für Bildung und Personalentwicklung mbH,1,5.0,13,0,6650
2026-06-09,Online Marketing,IFM GmbH,1,5.0,14,0,6650
2026-06-09,Online Marketing,CBW College Berufliche Weiterbildung GmbH,1,5.0,15,0,6650
2026-06-09,Online Marketing,XDi - Experience Design Institut GmbH,1,5.0,17,0,6650
2026-06-09,Online Marketing,Education partners GmbH,1,5.0,18,0,6650
2026-06-09,Online Marketing,LVQ Weiterbildung und Beratung GmbH,1,5.0,19,0,6650
2026-06-09,Online Marketing,GFN GmbH,1,5.0,20,0,6650
2026-06-09,Online Marketing Manager,OneCareer,3,15.0,14,0,2270
2026-06-09,Online Marketing Manager,alfatraining Bildungszentrum GmbH,2,10.0,4,0,2270
2026-06-09,Online Marketing Manager,Learnix GmbH,2,10.0,12,0,2270
2026-06-09,Online Marketing Manager,COMCAVE.COLLEGE GmbH,1,5.0,1,0,2270
2026-06-09,Online Marketing Manager,Talentspring Academy Group,1,5.0,2,0,2270
2026-06-09,Online Marketing Manager,Wildner Akademie für Digitale Wirtschaft & Management,1,5.0,3,0,2270
2026-06-09,Online Marketing Manager,ecomex GmbH & Co. KG,1,5.0,5,1,2270
2026-06-09,Online Marketing Manager,DCI Digital Career Institute GmbH,1,5.0,6,0,2270
2026-06-09,Online Marketing Manager,Textakademie GmbH,1,5.0,7,0,2270
2026-06-09,Online Marketing Manager,Digiteach GmbH,1,5.0,8,0,2270
2026-06-09,Online Marketing Manager,Lecturio GmbH,1,5.0,9,0,2270
2026-06-09,Online Marketing Manager,IAD Informationsverarbeitung und angewandte Datentechnik GmbH,1,5.0,10,0,2270
2026-06-09,Online Marketing Manager,IHK-Akademie Ostwestfalen GmbH,1,5.0,11,0,2270
2026-06-09,Online Marketing Manager,LVQ Weiterbildung und Beratung GmbH,1,5.0,13,0,2270
2026-06-09,Online Marketing Manager,Berger Bildungsinstitut GmbH,1,5.0,19,0,2270
2026-06-09,Online Marketing Manager,Minister Fachschule GmbH,1,5.0,20,0,2270
2026-06-09,Online Marketing Strategie,Learning Digital Academy GmbH,6,30.0,1,0,4216
2026-06-09,Online Marketing Strategie,Masters of Digital GmbH,4,20.0,5,0,4216
2026-06-09,Online Marketing Strategie,Talentspring Academy Group,2,10.0,15,0,4216
2026-06-09,Online Marketing Strategie,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,2,0,4216
2026-06-09,Online Marketing Strategie,OneCareer,1,5.0,3,0,4216
2026-06-09,Online Marketing Strategie,ecomex GmbH & Co. KG,1,5.0,4,1,4216
2026-06-09,Online Marketing Strategie,Karriere Tutor GmbH,1,5.0,10,0,4216
2026-06-09,Online Marketing Strategie,neuefische GmbH,1,5.0,11,0,4216
2026-06-09,Online Marketing Strategie,Spiced Academy GmbH,1,5.0,13,0,4216
2026-06-09,Online Marketing Strategie,BNW gGmbH - Bildungswerk der Niedersächsischen Wirtschaft gemeinnützige GmbH,1,5.0,18,0,4216
2026-06-09,Online Marketing Strategie,Distart Education GmbH,1,5.0,20,0,4216
2026-06-09,Online Marketing Grundlagen,ecomex GmbH & Co. KG,7,35.0,6,1,4729
2026-06-09,Online Marketing Grundlagen,Karriere Tutor GmbH,3,15.0,9,0,4729
2026-06-09,Online Marketing Grundlagen,Masters of Digital GmbH,2,10.0,3,0,4729
2026-06-09,Online Marketing Grundlagen,DCI Digital Career Institute GmbH,2,10.0,4,0,4729
2026-06-09,Online Marketing Grundlagen,velpTEC GmbH,1,5.0,1,0,4729
2026-06-09,Online Marketing Grundlagen,Talentspring Academy Group,1,5.0,2,0,4729
2026-06-09,Online Marketing Grundlagen,neuefische GmbH,1,5.0,5,0,4729
2026-06-09,Online Marketing Grundlagen,BNW gGmbH - Bildungswerk der Niedersächsischen Wirtschaft gemeinnützige GmbH,1,5.0,7,0,4729
2026-06-09,Online Marketing Grundlagen,XDi - Experience Design Institut GmbH,1,5.0,11,0,4729
2026-06-09,Online Marketing Grundlagen,SMD Performance Media,1,5.0,15,0,4729
2026-06-09,Digital Marketing,Berger Bildungsinstitut GmbH,2,10.0,1,0,7348
2026-06-09,Digital Marketing,OneCareer,2,10.0,14,0,7348
2026-06-09,Digital Marketing,Learning Digital Academy GmbH,1,5.0,2,0,7348
2026-06-09,Digital Marketing,alfatraining Bildungszentrum GmbH,1,5.0,3,0,7348
2026-06-09,Digital Marketing,GFN GmbH,1,5.0,4,0,7348
2026-06-09,Digital Marketing,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,1,5.0,5,0,7348
2026-06-09,Digital Marketing,BilSE-Institut für Bildung und Forschung GmbH,1,5.0,6,0,7348
2026-06-09,Digital Marketing,TERTIA Berufsförderung GmbH & Co. KG,1,5.0,7,0,7348
2026-06-09,Digital Marketing,Do IT Digital GmbH,1,5.0,9,0,7348
2026-06-09,Digital Marketing,Lecturio GmbH,1,5.0,10,0,7348
2026-06-09,Digital Marketing,Akademie für berufliche Aus- und Weiterbildung Schweiger & Schmitt GmbH,1,5.0,11,0,7348
2026-06-09,Digital Marketing,Kolping Akademie Bamberg,1,5.0,12,0,7348
2026-06-09,Digital Marketing,TÜV Rheinland Akademie GmbH,1,5.0,13,0,7348
2026-06-09,Digital Marketing,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,1,5.0,15,0,7348
2026-06-09,Digital Marketing,Bildung & Beruf GmbH,1,5.0,16,0,7348
2026-06-09,Digital Marketing,TEMP.Akademie GmbH,1,5.0,17,0,7348
2026-06-09,Digital Marketing,Avicenna Institut e. V.,1,5.0,18,0,7348
2026-06-09,Digital Marketing,Randstad Deutschland GmbH & Co. KG,1,5.0,20,0,7348
2026-06-09,Digitales Marketing,Berger Bildungsinstitut GmbH,2,10.0,1,0,7348
2026-06-09,Digitales Marketing,OneCareer,2,10.0,14,0,7348
2026-06-09,Digitales Marketing,Learning Digital Academy GmbH,1,5.0,2,0,7348
2026-06-09,Digitales Marketing,alfatraining Bildungszentrum GmbH,1,5.0,3,0,7348
2026-06-09,Digitales Marketing,GFN GmbH,1,5.0,4,0,7348
2026-06-09,Digitales Marketing,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,1,5.0,5,0,7348
2026-06-09,Digitales Marketing,BilSE-Institut für Bildung und Forschung GmbH,1,5.0,6,0,7348
2026-06-09,Digitales Marketing,TERTIA Berufsförderung GmbH & Co. KG,1,5.0,7,0,7348
2026-06-09,Digitales Marketing,Do IT Digital GmbH,1,5.0,9,0,7348
2026-06-09,Digitales Marketing,Lecturio GmbH,1,5.0,10,0,7348
2026-06-09,Digitales Marketing,Akademie für berufliche Aus- und Weiterbildung Schweiger & Schmitt GmbH,1,5.0,11,0,7348
2026-06-09,Digitales Marketing,Kolping Akademie Bamberg,1,5.0,12,0,7348
2026-06-09,Digitales Marketing,TÜV Rheinland Akademie GmbH,1,5.0,13,0,7348
2026-06-09,Digitales Marketing,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,1,5.0,15,0,7348
2026-06-09,Digitales Marketing,Bildung & Beruf GmbH,1,5.0,16,0,7348
2026-06-09,Digitales Marketing,TEMP.Akademie GmbH,1,5.0,17,0,7348
2026-06-09,Digitales Marketing,Avicenna Institut e. V.,1,5.0,18,0,7348
2026-06-09,Digitales Marketing,Randstad Deutschland GmbH & Co. KG,1,5.0,20,0,7348
2026-06-09,Marketing Manager,Talentspring Academy Group,4,20.0,1,0,4064
2026-06-09,Marketing Manager,OneCareer,3,15.0,2,0,4064
2026-06-09,Marketing Manager,Berger Bildungsinstitut GmbH,2,10.0,5,0,4064
2026-06-09,Marketing Manager,alfatraining Bildungszentrum GmbH,2,10.0,18,0,4064
2026-06-09,Marketing Manager,Bildung Next Level GmbH,1,5.0,3,0,4064
2026-06-09,Marketing Manager,neuefische GmbH,1,5.0,6,0,4064
2026-06-09,Marketing Manager,Learning Digital Academy GmbH,1,5.0,7,0,4064
2026-06-09,Marketing Manager,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,1,5.0,8,0,4064
2026-06-09,Marketing Manager,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,1,5.0,9,0,4064
