snapshot_date,type,tracked_title,status,match_title,course_id,locations,next_start,cost_bands,weiterbildungsart
2026-06-11,Weiterbildung,Content Creator,found,Content Creator Kurs,10338430255,Braunschweig; Hamburg; Hannover; München,2026-06-21,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Content Marketing,found,Content Marketing,10342367601,"Bonn; Cottbus; Mainz am Rhein; München; Nürnberg, Mittelfranken",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Content Marketing Expert,found,Content Marketing Expert,10338423309,"Bremen; Cottbus; Dresden; Göttingen, Niedersachsen; Köln",2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Content Marketing Manager,found,Content Marketing Manager,10338911508,"Berlin; Freiburg im Breisgau; Koblenz am Rhein; Landshut, Isar; Magdeburg",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Design Thinking & Agile Methoden mit KI,found,Design Thinking & Agile Methoden mit KI,10338436964,Bonn; Düsseldorf; Gummersbach; Hannover,2026-07-05,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,E-Commerce Shops und E-Commerce Plattformen,missing,,,,,,
2026-06-11,Weiterbildung,E-Commerce Grundlagen,found,E-Commerce Grundlagen,10338432056,"Braunschweig; Dresden; Landshut, Isar; Mönchengladbach; Stuttgart",2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,eCommerce Manager,found,E-Commerce Manager,10338427523,"Berlin; Hamburg; Heidelberg, Neckar",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,E-Commerce Manager,found,E-Commerce Manager,10338427523,"Berlin; Hamburg; Heidelberg, Neckar",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Inbound Marketing Experte,found,Inbound Marketing Experte,10338431711,"Gelsenkirchen; Hamburg; Heidelberg, Neckar; Neubrandenburg, Mecklenburg; Offenbach am Main",2026-06-28,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI im Büroalltag – ChatGPT & Co.,found,KI im Büroalltag - ChatGPT & Co.,10338433357,"Augsburg, Bayern; Bonn; Gelsenkirchen; Hamburg; Mainz am Rhein",2026-06-21,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI Manager,found,Datengetriebenes Marketing als KI Manager,10391166704,Esslingen am Neckar; Leverkusen; München; Neuss; Stuttgart,,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI-Anwendung & Agile Arbeitsmethoden,found,KI-Anwendung & Agile Arbeitsmethoden,10338435970,Detmold; Dresden; Hamburg; Köln; München,2026-06-28,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI-Anwendung & KI-Implementierung,missing,,,,,,
2026-06-11,Weiterbildung,KI-Strategie & KI-Implementierung,missing,,,,,,
2026-06-11,Weiterbildung,KI-Strategie & KI-Implementierung & Agile Methoden,missing,,,,,,
2026-06-11,Weiterbildung,Content Creation mit KI,found,Content Creation mit KI,10338431094,Bahlingen am Kaiserstuhl; Düsseldorf; Lübeck; Mainz am Rhein; Stuttgart,2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Manager,found,Social Media Manager,10340407675,Berlin; Bremen; Esslingen am Neckar; Iserlohn; Köln,2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Advertising Expert:in,found,Social Media Advertising Expert:in,10338895586,"Düsseldorf; Hof, Saale; Leipzig; Stuttgart",2026-06-21,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Advertising,found,Social Media Advertising,10338895266,"Detmold; Karlsruhe, Baden; Köln; München; Stuttgart",2026-07-05,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Online Marketing,found,Online Marketing,10349701750,"Freiburg im Breisgau; Gießen, Lahn; Hamburg; Magdeburg",2026-06-14,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Online Marketing Grundlagen für Marketing Manager,found,Online Marketing Grundlagen für Marketing Manager:in,10338910725,"Hof, Saale; Jena; Koblenz am Rhein; Köln; Oberhausen, Rheinland",2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Online Marketing International,found,Online Marketing,10349701750,"Freiburg im Breisgau; Gießen, Lahn; Hamburg; Magdeburg",2026-06-14,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Online Marketing Manager,found,Online Marketing Manager,10343394728,"Göttingen, Niedersachsen; Hamburg; Karlsruhe, Baden; Krefeld; Leipzig",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Online Marketing Manager Weiterbildung,found,Online Marketing Manager Weiterbildung,10342368910,"Bahlingen am Kaiserstuhl; Düsseldorf; Iserlohn; Krefeld; Nürnberg, Mittelfranken",2026-06-14,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Performance Marketing Experte,found,Performance Marketing Experte,10338428159,Erfurt; Hamburg; Hannover; Wuppertal,2026-06-28,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Performance Marketing Manager,found,Performance Marketing Manager,10338424756,Berlin; Bremen; Hamburg; Köln,2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Performance Marketing Masterclass,found,Performance Marketing Masterclass,10338430808,"Augsburg, Bayern; Dresden; Köln; Lörrach",2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,PPC Marketing - Paid Advertising,found,PPC Marketing - Paid Advertising,10338429570,Berlin; Hamburg; Hannover; Mainz am Rhein,2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Search Engine Marketing Expert,found,Search Engine Marketing Expert,10338431852,"Detmold; Düsseldorf; Frankfurt am Main; Hof, Saale; Lüneburg",2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Creation Experte,found,Social Media Creation Experte,10338428797,Dresden; Frankfurt am Main; Hamburg; Hannover; Konstanz,2026-06-21,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Expert,found,Social Media Expert:in,10338911376,Bonn; Cottbus; Flensburg; Gummersbach; Landau in der Pfalz,2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Grundlagen,found,Social Media Grundlagen,10338422909,"Hannover; Köln; München; Nürnberg, Mittelfranken; Offenburg",2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Marketing Expert,found,Social Media Marketing,10338427203,Berlin; Gummersbach; Hamburg; Rostock,2026-06-14,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,NEU: Social Media Weiterbildung,found,Social Media Weiterbildung,10342368125,Berlin; Hamburg; Hannover; Koblenz am Rhein,2026-06-14,UEBER_5000_BIS_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,Social Media Relationship Expert:in,missing,,,,,,
2026-06-11,Weiterbildung,WordPress,found,WordPress,10338426557,Berlin; Freiburg im Breisgau; Hamburg; Köln; Neuss,2026-06-28,UEBER_1000_BIS_5000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI- und Online Marketing Weiterbildung,found,KI- und Online Marketing Weiterbildung,10392170202,Bremen; Dresden; Esslingen am Neckar; Jena; Lörrach,2026-07-05,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Weiterbildung,KI- und Online Marketing Manager,found,KI- und Online Marketing Manager,10392169953,"Berlin; Dortmund; Gießen, Lahn; Hannover; Lübeck",2026-07-05,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Coaching,Bewerbungscoaching Advanced,missing,,,,,,
2026-06-11,Coaching,Bewerbungscoaching Basic,missing,,,,,,
2026-06-11,Coaching,E-Commerce-Coaching für Gründer,missing,,,,,,
2026-06-11,Coaching,Existenzgründercoaching (kombiniert),missing,,,,,,
2026-06-11,Coaching,Existenzgründercoaching Advanced,missing,,,,,,
2026-06-11,Coaching,Gründercoaching für das Handwerk,missing,,,,,,
2026-06-11,Coaching,Gründercoaching für Designer & Künstler,missing,,,,,,
2026-06-11,Coaching,Gründercoaching im Beauty & Gesundheitsbereich,missing,,,,,,
2026-06-11,Coaching,Gründercoaching in der Gastronomie,missing,,,,,,
2026-06-11,Coaching,Karrierecoaching Advanced (kombiniert),missing,,,,,,
2026-06-11,Coaching,Karrierecoaching Basic,missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching Advanced (Kombiniert),missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching Basic,missing,,,,,,
2026-06-11,Coaching,Strategie- und Tragfähigkeitscoaching,missing,,,,,,
2026-06-11,Coaching,Businessplan-Coaching,missing,,,,,,
2026-06-11,Coaching,"Coaching für Selbstständige als Coach, Trainer & Berater",missing,,,,,,
2026-06-11,Coaching,Existenzgründercoaching (Präsenz),missing,,,,,,
2026-06-11,Coaching,Karrierecoaching Advanced (Präsenz),missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching Advanced (Präsenz),missing,,,,,,
2026-06-11,Coaching,Bewerbungscoaching für Akademiker,missing,,,,,,
2026-06-11,Coaching,Individuelles Karrierecoaching via Live-Video für Akademiker:innen,missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching,missing,,,,,,
2026-06-11,Coaching,Karrierecoaching für Fach- und Führungskräfte Classic 32,missing,,,,,,
2026-06-11,Coaching,Karrierecoaching für Fach- und Führungskräfte Complete 64,missing,,,,,,
2026-06-11,Coaching,Karrierecoaching für Fach- und Führungskräfte Starter 16,missing,,,,,,
2026-06-11,Coaching,Bewerbungscoaching für Akademiker Classic 32,missing,,,,,,
2026-06-11,Coaching,Bewerbungscoaching für Akademiker Complete 64,missing,,,,,,
2026-06-11,Coaching,Coaching zur Potenzialentfaltung und Potenzialentwicklung Complete 64,missing,,,,,,
2026-06-11,Coaching,Digitalisierungscoaching für den Arbeitsmarkt Complete 64,missing,,,,,,
2026-06-11,Coaching,"Individuelles Bewerbungscoaching ""50 plus"" Complete 64",missing,,,,,,
2026-06-11,Coaching,Individuelles Karrierecoaching Complete 64,missing,,,,,,
2026-06-11,Coaching,Individuelles Karrierecoaching für Berufseinsteiger Complete 64,missing,,,,,,
2026-06-11,Coaching,Individuelles Karrierecoaching für Mütter Complete 64,missing,,,,,,
2026-06-11,Coaching,Individuelles Orientierungscoaching Complete 56,missing,,,,,,
2026-06-11,Coaching,Individuelles Orientierungscoaching Complete 64,missing,,,,,,
2026-06-11,Coaching,Karrierecoaching für Fach- und Führungskräfte Premium 76,missing,,,,,,
2026-06-11,Coaching,Online-Marketing Coaching Complete 56,found,Online Marketing,10349701750,"Freiburg im Breisgau; Gießen, Lahn; Hamburg; Magdeburg",2026-06-14,UEBER_10000_EUR,BERUFLICHE_QUALIFIZIERUNG
2026-06-11,Coaching,Orientierungscoaching - Neue Perspektiven finden Classic 32,missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching - Neue Perspektiven finden Complete 64,missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching - Neue Perspektiven finden Premium 76,missing,,,,,,
2026-06-11,Coaching,Orientierungscoaching - Neue Perspektiven finden Starter 16,missing,,,,,,
2026-06-11,Coaching,Stressmanagement und Burn-Out Prophylaxe - gelungene Work-Life-Balance Complete 64,missing,,,,,,
2026-06-11,Coaching,Integrations- und Jobcoaching für Fachkräfte mit Migrationshintergrund Classic 40,missing,,,,,,
2026-06-11,Coaching,Integrations- und Jobcoaching für Fachkräfte mit Migrationshintergrund Complete 64,missing,,,,,,
2026-06-11,Coaching,Jobcoaching für Fach- und Führungskräfte Classic 30,missing,,,,,,
