snapshot_date,course_id,title,provider,provider_ort,provider_plz,weiterbildungsart,anzahl_termine,locations,cost_bands,formats,schedules,next_start,start_dates,description
2026-06-08,10395151940,AI Marketing,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,Krefeld; Köln; Mülheim an der Ruhr; München; Oberursel (Taunus),UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"Der Kurs ""AI Marketing"" zeigt, wie Künstliche Intelligenz im modernen Marketing eingesetzt werden kann. Die Teilnehmenden lernen, KI-Tools für Recherche, Ideenentwicklung, Content-Erstellung, Kampagnenplanung, Analyse und Automatisierung einzusetzen. Im Fokus stehen der Einsatz von KI im Marketingalltag, professionelles Prompting, KI-gestützte Content-Erstellung, Social-Media- und Kampagnenideen, SEO und Performance-Marketing mit KI sowie Marketing-Automatisierung und KI-Agenten. Ergänzend werden KI-Strategie und Implementierung behandelt, um KI in Marketingprozesse zu integrieren. Nach Abschluss können die Teilnehmenden KI-Tools im Marketing einsetzen, Ergebnisse fachlich prüfen und KI-gestützte Marketingprozesse anwenden."
2026-06-08,10389166226,"AI Marketing für Einsteiger: Tools, Use Cases & Strategien",ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,Dresden; Frankfurt am Main; Hamburg; Rostock,UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"Der Kurs ""AI Marketing für Einsteiger: Tools, Use Cases & Strategien"" vermittelt dir einen praxisnahen Einstieg in den Einsatz von Künstlicher Intelligenz im digitalen Marketing. Du lernst, wie moderne KI-Tools Marketingprozesse unterstützen, Inhalte schneller erstellt werden und Kampagnen effizienter geplant und optimiert werden können. Der Fokus liegt darauf, dir ein verständliches Fundament zu geben, wie AI im Marketing eingesetzt wird - von Content Creation über Social Media bis hin zu Performance Marketing, Automatisierung und Datenanalyse. Ziel ist es, dass du KI nicht nur verstehst, sondern direkt in konkreten Marketing-Szenarien anwenden kannst. Inhalte des Kurses AI Marketing für Einsteiger Modul 1: Grundlagen von AI im Marketing Einführung in Künstliche Intelligenz und ihre Rolle im modernen digitalen Marketing. Modul 2: AI Tools im Marketing Alltag Überblick über wichtige KI-Tools wie ChatGPT und deren praktische Anwendung im Marketing. Modul 3: Content Creation mit AI Erstellung von Texten, Blogposts, Werbeanzeigen und Social Media Content mit KI-Unterstützung. Modul 4: Social Media Marketing mit AI Planung, Erstellung und Optimierung von Social Media Inhalten mithilfe von KI-Tools. Modul 5: E-Mail Marketing & Copywriting mit AI Entwicklung von E-Mail Kampagnen, Betreffzeilen und verkaufsstarken Texten mit KI. Modul 6: SEO & Performance Marketing Use Cases Einsatz von KI zur Unterstützung von Keyword-Recherche, Content-Optimierung und Ads. Modul 7: Marketing Automatisierung Basics Einführung in einfache Automatisierungsprozesse im Marketing mit KI-Unterstützung. Modul 8: E-Commerce & AI Marketing Anwendungen Grundlagen, wie KI im Online-Shop Marketing und bei Verkaufsprozessen eingesetzt wird. Modul 9: Prompting Grundlagen für Marketing Einführung in effektives Prompting zur besseren Steuerung von KI-Tools. Modul 10: Praxisprojekt - AI Marketing Strategie Umsetzung einer einfachen AI-gestützten Marketingstrategie für ein reales Beispiel. Dein Ergebnis nach dem Kurs Nach Abschluss bist du in der Lage, KI-Tools sicher im Marketing einzusetzen, einfache Kampagnen zu erstellen und moderne AI-Workflows in Content, Social Media und Performance Marketing praktisch anzuwenden."
2026-06-08,10377228425,AI Weiterbildung,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,125,"Braunschweig; Dresden; Mülheim an der Ruhr; Münster, Westfalen; Osnabrück",UEBER_1000_BIS_5000_EUR,Blended Learning,Vollzeit,,,"Die ""AI Weiterbildung"" vermittelt Wissen für den Einsatz von AI-Tools und -Methoden im beruflichen Alltag. In sechs Wochen erwerben die Teilnehmenden Fähigkeiten, um KI zu nutzen und Routineaufgaben zu automatisieren. Sie lernen, wie sie gängige AI-Sprachmodelle wie ChatGPT und Microsoft Copilot einsetzen, eigene Prompts erstellen und ihren Arbeitsalltag gestalten. Schritt für Schritt bauen sie automatisierte Workflows auf, entwickeln erste AI-Agenten und setzen No-Code-Tools ein - ohne Programmierkenntnisse. Ergänzend wenden sie Design-Thinking-Methoden mit KI-Unterstützung an und arbeiten in Teams, wobei sie lernen, KI-Projekte umzusetzen. Den Abschluss bildet ein Einblick in AI-gestütztes Programmieren. Nach Abschluss können die Teilnehmenden AI-Tools bedienen und einfache Automatisierungen umsetzen."
2026-06-08,10377230049,AI-Manager,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,125,"Göttingen, Niedersachsen; Hamburg; Karlsruhe, Baden; Oberursel (Taunus)",UEBER_1000_BIS_5000_EUR,Blended Learning,Vollzeit,,,"Die Qualifizierung ""AI-Manager"" bereitet Fach- und Führungskräfte darauf vor, Künstliche Intelligenz strategisch im Unternehmen zu steuern und zu verantworten. Fokus liegt auf der unternehmerischen Führung von KI-Initiativen. Die Teilnehmenden analysieren AI-Potenziale in ihrem Unternehmen, entwickeln Business Cases, treffen fundierte Make-or-Buy-Entscheidungen und wählen geeignete Anbieter aus. Sie führen AI-Readiness-Analysen durch, steuern Change-Management-Prozesse und stellen sicher, dass KI-Implementierungen ethischen, rechtlichen und unternehmerischen Anforderungen entsprechen. Zudem lernen sie, AI-Agenten und Automatisierungslösungen strategisch zu bewerten, zu beauftragen und in bestehende Systeme zu integrieren - ohne selbst programmieren zu müssen. Agile Methoden und Design Thinking unterstützen sie dabei, KI-Projekte strukturiert zu steuern und nutzerzentrierte Lösungen zu entwickeln. Ein individuelles Abschlussprojekt schließt die Qualifizierung ab. Nach Abschluss können die Teilnehmenden KI-Initiativen strategisch planen, ihr Team im KI-Wandel begleiten und Künstliche Intelligenz im Unternehmen verankern."
2026-06-08,10389164957,AI-Tools im Online Marketing,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,"Köln; München; Nürnberg, Mittelfranken; Oberhausen, Rheinland; Wuppertal",UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"Der Kurs ""AI Tools im Online Marketing"" vermittelt dir praxisnahes Wissen über den Einsatz von Künstlicher Intelligenz im digitalen Marketing. Du lernst, wie moderne KI-Tools effektiv eingesetzt werden, um Marketingprozesse zu automatisieren, Inhalte effizient zu erstellen und datenbasierte Entscheidungen zu treffen. Im Fokus steht die Verbindung von klassischen Online-Marketing-Disziplinen mit innovativen KI-Technologien. So erhältst du nicht nur ein solides Verständnis der Grundlagen, sondern auch konkrete Anwendungsmöglichkeiten für den Einsatz von KI im Marketing-Alltag. Inhalte der Weiterbildung AI Tools im Online Marketing Modul 1: Chat GPT & Co. im Marketing Einführung in KI-Tools und deren Einsatz für Content-Erstellung, Recherche und Automatisierung. Modul 2: KI Strategie & Implementierung Entwicklung von KI-gestützten Marketingstrategien und Integration in bestehende Prozesse. Modul 3: KI Agenten & Automatisierung Automatisierung von Marketingprozessen durch KI-gestützte Systeme und Workflows. Modul 4: Online Marketing Strategie Grundlagen der strategischen Planung im digitalen Marketing unter Einbindung von KI. Modul 5: Website Marketing Optimierung von Websites mit Hilfe von KI-Tools zur Steigerung der Nutzererfahrung und Conversion. Modul 6: Content Marketing mit KI Erstellung und Optimierung von Inhalten durch KI-gestützte Tools und Technologien. Modul 7: CRM & datengetriebenes Marketing Einsatz von KI im Kundenmanagement und zur Personalisierung von Marketingmaßnahmen. Modul 8: SEO & KI im Online Marketing Optimierung von Suchmaschinenstrategien durch KI-gestützte Analysen und Tools. Modul 9: SEA & automatisierte Kampagnen Effiziente Steuerung von Werbekampagnen mit Hilfe von KI und Machine Learning. Modul 10: Analyse & Optimierung Datenanalyse, KPI-Tracking und kontinuierliche Verbesserung durch KI-gestützte Insights. Modul 11: Projektmanagement & KI im Online Marketing Planung und Umsetzung von Marketingprojekten unter Einsatz moderner KI-Technologien. Modul 12: Praxisprojekt - KI im Online Marketing anwenden Entwicklung einer eigenen KI-gestützten Marketingstrategie. (Die Reihenfolge der Module kann variieren.)"
2026-06-08,10356999107,Analyse und Optimierung im Online Marketing,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,125,"Berlin; Karlsruhe, Baden; Konstanz; Köln; Leipzig",UEBER_1000_BIS_5000_EUR,Blended Learning,Vollzeit,,,"Webanalyse: Einführung in Methoden und Werkzeuge für Online Marketing Manager In diesem Kurs erhalten Teilnehmer umfassende Einblicke in die Webanalyse, inklusive notwendiger Kompetenzen, Methoden und KPI-Definitionen. Der Fokus liegt auf der Implementierung und Konfiguration von Tools sowie der Anwendung von Analyseverfahren. Kursinhalt1. Grundlagen der Webanalyse Kompetenzen und Methoden Wichtige KPIs 2. Measurement Frameworks Einführung in Measurement Frameworks Der Einsatz von UTM-Parametern 3. Tools und ihre Konfiguration Einbindung von Google Analytics 4 Konfiguration mit dem Google Tag Manager 4. Tracking und Datenschutz Ereignistracking und DataLayer E-Commerce Tracking unter Berücksichtigung der DSGVO 5. Analyseverfahren Grundlagen von Attributionsmodellen Vorgehen bei A/B-Testing und Personalisierung 6. Marktanalysen Definition von Growth Hacking Marktübersicht, Analyse und BI-Tools Durchführung der Break-Even Analyse"
2026-06-08,10380831850,Aufbaukurs Online Marketing / Social Media Marketing,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,"Chemnitz, Sachsen; Hamburg; München; Oberursel (Taunus)",UEBER_5000_BIS_10000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"In diesem Aufbaukurs Online Marketing / Social Media Marketing erwirbst du praxisnahes Wissen, um digitale Marketingstrategien gezielt weiterzuentwickeln und professionell umzusetzen. Der Kurs vermittelt fundierte Kenntnisse in zentralen Bereichen des Online Marketings mit einem besonderen Fokus auf Social Media Marketing. Modul 1: Online Marketing Strategie Strategische Planung und Umsetzung von Online Marketing Maßnahmen, Zielgruppenanalyse, Markenpositionierung und Kampagnenplanung im digitalen Umfeld. Modul 2: Suchmaschinenoptimierung (SEO) Grundlagen der SEO, Keyword-Recherche, OnPage- und OffPage-Optimierung sowie technische Maßnahmen zur Sichtbarkeitssteigerung. Modul 3: Online-Recht Rechtliche Rahmenbedingungen im Online Marketing, Datenschutz, DSGVO und rechtssichere Kommunikation in sozialen Medien. Modul 4: Social Media Marketing Strategischer Einsatz von Social Media Plattformen, Content-Erstellung, Community-Management und Reichweitensteigerung im Social Media Marketing. Modul 5: Analytics Webanalyse und Social Media Analytics, KPI-Definition, Erfolgsmessung und datenbasierte Optimierung von Online Marketing Maßnahmen. Modul 6: CRM Grundlagen des Customer Relationship Managements, Kundenbindung, Segmentierung und Integration in die Online Marketing Strategie. Modul 7: Bild- und Videobearbeitung Erstellung und Bearbeitung von visuellem Content für Social Media Marketing, Grundlagen der Bildbearbeitung und Videoproduktion. Modul 8: KI im Online Marketing Einsatz von Künstlicher Intelligenz im Online Marketing und Social Media Marketing, KI-gestützte Content-Erstellung und Automatisierung."
2026-06-08,10389166652,ChatGPT & KI für Marketing Manager,ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,Bremen; Erfurt; Jena; Lübeck; München,UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"ChatGPT & KI für Marketing Manager: Effiziente Nutzung von KI-Tools im Marketing-Alltag Der Kurs ""ChatGPT & KI für Marketing Manager"" vermittelt dir, wie du moderne KI-Tools gezielt im Marketing-Alltag einsetzt, um effizienter zu arbeiten, bessere Inhalte zu erstellen und datenbasierte Marketingentscheidungen zu treffen. Du lernst, wie du ChatGPT und andere KI-Anwendungen nutzt, um Content zu skalieren, Kampagnen schneller zu planen, Zielgruppen besser zu verstehen und Marketingprozesse deutlich zu automatisieren. Der Fokus liegt auf der praktischen Anwendung von KI im gesamten Marketing-Funnel - von der Idee bis zur Performance-Optimierung. Dieser Kurs ist ideal für Marketing Manager, Einsteiger und Quereinsteiger, die ihre Produktivität steigern und moderne KI-Workflows in ihre tägliche Arbeit integrieren möchten. Kursinhalt1. Einführung in KI im Marketing Grundlagen der Künstlichen Intelligenz und deren Rolle im modernen Marketing. 2. ChatGPT für Content & Kampagnen Erstellung von Marketingtexten, Anzeigen, Social-Media-Posts und Kampagnenideen mit ChatGPT. 3. KI für Content Marketing & Social Media Effiziente Content-Produktion, Redaktionsplanung und kreative Ideenentwicklung mit KI. 4. KI im Performance Marketing Unterstützung bei Anzeigen, Zielgruppenanalyse und Kampagnenoptimierung mit KI-Tools. 5. KI für SEO & Suchmaschinenmarketing Keyword-Ideen, Content-Optimierung und SEO-Strategien mit KI-Unterstützung. 6. Marketing Automatisierung mit KI Automatisierung von Marketingprozessen, Workflows und wiederkehrenden Aufgaben. 7. KI für E-Mail Marketing & CRM Personalisierte Kundenkommunikation, Newsletter-Erstellung und Funnel-Optimierung. 8. Datenanalyse & Insights mit KI Auswertung von Marketingdaten und Unterstützung bei datenbasierten Entscheidungen. 9. KI-gestützte Strategieentwicklung Entwicklung von Marketingstrategien mit Hilfe von KI-Tools und Prompt-Techniken. 10. Praxisprojekt - KI im Marketing Alltag Umsetzung eines realen Marketingprojekts mit ChatGPT und weiteren KI-Tools. Dein Ergebnis nach dem Kurs Nach Abschluss bist du in der Lage, ChatGPT und KI gezielt im Marketing einzusetzen, deine Arbeitsprozesse deutlich zu beschleunigen und moderne Marketingstrategien effizient umzusetzen - ein klarer Vorteil für jede Position im digitalen Marketing."
2026-06-08,10391165032,"ChatGPT, Copilot, Gemini und Claude im Marketing",ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,"Berlin; Dresden; Hamburg; Kiel; Nürnberg, Mittelfranken",UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"Der Kurs **ChatGPT, Copilot, Gemini und Claude im Marketing** vermittelt einen kompakten und praxisnahen Einstieg in den Einsatz moderner KI-Tools für Marketingaufgaben. Die Teilnehmenden lernen, wie generative KI bei Recherche, Ideenentwicklung, Content-Erstellung, Kampagnenplanung, Analyse und Organisation sinnvoll unterstützen kann. Kursinhalte Grundlagen generativer KI im Marketing Überblick über ChatGPT, Microsoft Copilot, Gemini und Claude Prompting für bessere KI-Ergebnisse KI für recherche und Ideenentwicklung KI für Social Media, Content und Werbetexte KI für E-Mail-Marketing und Kampagnenplanung KI für Analyse, Zusammenfassungen und Reporting KI für Projektorganisation und Workflows Qualitätsprüfung von KI-Ergebnissen Datenschutz, Verantwortung und Grenzen von KI Die Reihenfolge der Inhalte kann variieren. Nach Abschluss können die Teilnehmenden KI-Tools gezielt für typische Marketingaufgaben einsetzen und Ergebnisse fachlich sinnvoll prüfen."
2026-06-08,10387194575,"ChatGPT, Microsoft Copilot, Google Gemini für Einsteiger",ecomex GmbH & Co. KG,Berlin,10789,BERUFLICHE_QUALIFIZIERUNG,250,"Bonn; Bremen; Düsseldorf; Hamburg; Oberhausen, Rheinland",UEBER_1000_BIS_5000_EUR,Blended Learning,Teilzeit; Vollzeit,,,"ChatGPT, Microsoft Copilot und Google Gemini für Einsteiger: Einführung in Künstliche Intelligenz Die Weiterbildung ""ChatGPT, Microsoft Copilot und Google Gemini für Einsteiger"" bietet einen praxisnahen Einstieg in die Arbeit mit Künstlicher Intelligenz. Du lernst, wie du moderne KI-Tools effektiv im beruflichen Alltag einsetzt, um produktiver zu arbeiten und Aufgaben effizienter zu erledigen - ohne Vorkenntnisse. Inhalte der Weiterbildung 1. Mehr Produktivität mit ChatGPT und KI-Tools Effiziente Nutzung von KI zur Unterstützung von Texten, E-Mails, Präsentationen, Ideenentwicklung und täglichen Aufgaben im Arbeitsalltag. 2. Design Thinking mit KI Einsatz von KI zur Unterstützung kreativer Problemlösungsprozesse und innovativer Ideenentwicklung mit praxisnahen Methoden. 3. Agile Methoden mit KI Optimierung von Arbeitsprozessen durch agile Methoden und KI-gestützte Zusammenarbeit in modernen Teams. 4. KI-Strategie und Implementierung Grundverständnis dafür, wie KI sinnvoll in Arbeitsabläufe, Projekte und Organisationen integriert werden kann. 5. KI-Agenten und Automatisierung Einführung in automatisierte Prozesse und KI-gestützte Unterstützung bei wiederkehrenden Aufgaben zur Steigerung der Effizienz. Die Weiterbildung verbindet verständliche Grundlagen mit direkter Anwendung und vermittelt praxisnahe Methoden sowie sofort einsetzbare Vorlagen für den modernen Berufsalltag. Die Inhalte können je nach Kursformat variieren."
