type,tracked_title,certified_title,format,cert,label
Weiterbildung,Content Creator,Certified Content Creation Expert,Vollzeit,-,Certified 2021
Weiterbildung,Content Marketing,Applied Content Marketing Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Content Marketing Expert,Certified Content Marketing Expert,Vollzeit,-,Certified 2021
Weiterbildung,Content Marketing Manager,Certified Content Marketing Manager,Vollzeit,-,Certified 2021
Weiterbildung,Design Thinking & Agile Methoden mit KI,Spezialist für agile Arbeitsmethoden,Vollzeit,DEKRA,KI 2025
Weiterbildung,E-Commerce Shops und E-Commerce Plattformen,Applied E-Commerce Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,E-Commerce Grundlagen,Certified E-Commerce Expert,Vollzeit,-,Certified 2021
Weiterbildung,eCommerce Manager,Certified E-Commerce Manager,Vollzeit,-,Certified 2021
Weiterbildung,E-Commerce Manager,Applied E-Commerce Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Inbound Marketing Experte,Applied Inbound Marketing Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,KI im Büroalltag – ChatGPT & Co.,Spezialist für KI-Anwendung – ChatGPT & Co.,Vollzeit,DEKRA,KI 2025
Weiterbildung,KI Manager,KI Manager,Vollzeit,DEKRA,KI 2025
Weiterbildung,KI-Anwendung & Agile Arbeitsmethoden,Experte für KI-Anwendung & agile Methoden,Vollzeit,DEKRA,KI 2025
Weiterbildung,KI-Anwendung & KI-Implementierung,Experte für KI-Anwendung & -Implementierung,Vollzeit,DEKRA,KI 2025
Weiterbildung,KI-Strategie & KI-Implementierung,Spezialist für strategische KI-Implementierung,Vollzeit,DEKRA,KI 2025
Weiterbildung,KI-Strategie & KI-Implementierung & Agile Methoden,Experte für KI-Implementierung & agile Methoden,Vollzeit,DEKRA,KI 2025
Weiterbildung,Content Creation mit KI,Applied Media Creation Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,Social Media Manager,Applied Social Media Relationship Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Social Media Advertising Expert:in,Social Media Advertisement Expert,Teilzeit,DEKRA,TZ 2025
Weiterbildung,Social Media Advertising,Social Media Advertisement Manager,Teilzeit,DEKRA,TZ 2025
Weiterbildung,Online Marketing,Certified Online Marketing Manager Advanced,Vollzeit,-,Certified 2021
Weiterbildung,Online Marketing Grundlagen für Marketing Manager,Certified Online Marketing Manager,Vollzeit,-,Certified 2021
Weiterbildung,Online Marketing International,Applied International Online Marketing Manager,Vollzeit,GZQ,Applied 2024
Weiterbildung,Online Marketing Manager,Applied Online Marketing Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Online Marketing Manager Weiterbildung,Applied Online Marketing Manager Advanced,Vollzeit,GZQ,Applied 2023
Weiterbildung,Performance Marketing Experte,Applied Performance Marketing Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,Performance Marketing Manager,Applied Performance Marketing Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Performance Marketing Masterclass,Certified Performance Marketing Manager,Vollzeit,-,Certified 2021
Weiterbildung,PPC Marketing - Paid Advertising,Applied PPC Marketing Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,Search Engine Marketing Expert,Certified Search Engine Marketing Expert,Vollzeit,-,Certified 2021
Weiterbildung,Social Media Creation Experte,Applied Social Media Creation Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,Social Media Expert,Certified Social Media Expert,Vollzeit,-,Certified 2021
Weiterbildung,Social Media Grundlagen,Certified Social Media Manager,Vollzeit,-,Certified 2021
Weiterbildung,Social Media Marketing Expert,Applied Social Media Marketing Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,NEU: Social Media Weiterbildung,Applied Social Media Marketing Manager,Vollzeit,GZQ,Applied 2023
Weiterbildung,Social Media Relationship Expert:in,Applied Social Media Relationship Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,WordPress,Applied WordPress Expert,Vollzeit,GZQ,Applied 2023
Weiterbildung,,KI im Online Marketing,Vollzeit,-,Seminar
Weiterbildung,KI- und Online Marketing Weiterbildung,IT-Anwendungsmanager für Marketing- und KI-Plattformen (Advanced),Vollzeit,Kiwa,Applied
Weiterbildung,KI- und Online Marketing Manager,IT-Anwendungsmanager für Online Marketing - und KI-Systeme,Vollzeit,Kiwa,Applied
